exposure,count
88,4
82,4
50,4
93,3
91,3
73,3
267 ,3
68,3
71,3
74,3
194 ,2
111 ,2
84,2
52,2
56,2
105 ,2
66,2
57,2
251 ,2
90,2
103 ,2
96,2
80,2
207 ,2
78,2
60,2
69,2
174 ,2
61,2
119 ,2
40,2
123 ,1
136 ,1
188 ,1
158 ,1
46,1
81,1
72,1
94,1
198 ,1
179 ,1
127 ,1
131 ,1
77,1
206 ,1
182 ,1
122 ,1
62,1
98,1
70,1
113 ,1
165 ,1
143 ,1
89,1
240 ,1
54,1
145 ,1
149 ,1
117 ,1
227 ,1
120 ,1
124 ,1
100 ,1
316 ,1
53,1
99,1
220 ,1
140 ,1
59,1
190 ,1
64,1
159 ,1
79,1
248 ,1
58,1
171 ,1
76,1
271 ,1
209 ,1
108 ,1
156 ,1
106 ,1
151 ,1
67,1
83,1
201 ,1
125 ,1
48,1
137 ,1
195 ,1
