xray_current,count
80,4
141 ,3
132 ,3
401 ,3
118 ,3
113 ,3
108 ,3
117 ,2
238 ,2
83,2
125 ,2
331 ,2
130 ,2
128 ,2
191 ,2
144 ,2
126 ,2
177 ,2
218 ,2
90,2
154 ,2
134 ,2
97,2
91,2
148 ,2
279 ,2
106 ,1
74,1
196 ,1
140 ,1
169 ,1
115 ,1
96,1
316 ,1
146 ,1
244 ,1
164 ,1
99,1
195 ,1
287 ,1
232 ,1
311 ,1
116 ,1
124 ,1
264 ,1
210 ,1
145 ,1
157 ,1
112 ,1
105 ,1
330 ,1
291 ,1
98,1
228 ,1
143 ,1
86,1
402 ,1
384 ,1
109 ,1
363 ,1
187 ,1
199 ,1
158 ,1
192 ,1
427 ,1
161 ,1
310 ,1
181 ,1
380 ,1
137 ,1
63,1
85,1
371 ,1
190 ,1
329 ,1
64,1
94,1
304 ,1
102 ,1
254 ,1
149 ,1
93,1
131 ,1
224 ,1
274 ,1
434 ,1
121 ,1
335 ,1
173 ,1
249 ,1
170 ,1
111 ,1
241 ,1
322 ,1
200 ,1
77,1
165 ,1
110 ,1
168 ,1
313 ,1
